Quantify Compound Summary Report 

Printed Fri Dec 04 12:11:50 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
74	74	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00315_CV0092_77	COV00315_CV0092	Analyte		bd	172.160		0.76	45978.938	677332.313	0.679
75	75	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00316_CV0102_78	COV00316_CV0102	Analyte		bd	127.631		0.76	34920.266	690404.750	0.506
76	76	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00317_CV0105_79	COV00317_CV0105	Analyte		bb	79.598		0.76	25329.012	793648.688	0.319
77	77	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00318_CV0095_80	COV00318_CV0095	Analyte		dd	301.944		0.76	90333.086	763504.563	1.183
78	78	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00319_CV0003_81	COV00319_CV0003	Analyte		dd	3207.981		0.76	963086.938	771988.563	12.475
79	79	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00320_CV0034_82	COV00320_CV0034	Analyte		dd	272.992		0.76	97719.125	912718.250	1.071
82	82	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00323_CV0099_85	COV00323_CV0099	Analyte		dd	529.907		0.76	154421.531	746373.375	2.069
83	83	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00324_CV0039_86	COV00324_CV0039	Analyte		bb	395.159		0.76	129267.758	836492.625	1.545
84	84	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00325_CV0097_87	COV00325_CV0097	Analyte		bb	100.042		0.76	30512.545	765513.813	0.399
85	85	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00326_CV0098_88	COV00326_CV0098	Analyte		bb	302.740		0.76	101692.852	857276.375	1.186
86	86	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00327_CV0050_89	COV00327_CV0050	Analyte		dd	133.979		0.76	38065.117	717584.438	0.530
87	87	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00328_CV0075_90	COV00328_CV0075	Analyte		bb	341.437		0.76	104239.500	779885.688	1.337
88	88	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00329_CV0079_91	COV00329_CV0079	Analyte		dd	471.423		0.76	152430.484	827662.125	1.842
89	89	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00330_CV0103_92	COV00330_CV0103	Analyte		bb	311.162		0.76	95220.586	781164.813	1.219
90	90	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00331_CV0104_93	COV00331_CV0104	Analyte		bd	723.951		0.76	198820.281	704294.563	2.823
91	91	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00332_CV0059_94	COV00332_CV0059	Analyte		dd	141.825		0.76	43958.129	783638.750	0.561
94	94	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00335_CV0101_97	COV00335_CV0101	Analyte		bd	157.307		0.76	51512.297	829359.500	0.621
95	95	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00336_CV0056_98	COV00336_CV0056	Analyte		db	40211.421		0.75	8159450.000	522160.656	156.263
96	96	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00337_CV0068_99	COV00337_CV0068	Analyte		bd	116.204		0.76	35299.035	765058.875	0.461
97	97	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00338_CV0071_100	COV00338_CV0071	Analyte		bb	327.895		0.76	88143.156	686484.438	1.284
98	98	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00339_CV0088_101	COV00339_CV0088	Analyte		bb	152.465		0.76	46832.438	777569.438	0.602
99	99	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00340_CV0106_102	COV00340_CV0106	Analyte		bb	72.845		0.76	22498.479	768114.250	0.293
100	100	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00341_CV0107_103	COV00341_CV0107	Analyte		bb	143.549		0.76	43538.840	767003.000	0.568
101	101	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00342_CV0108_104	COV00342_CV0108	Analyte		bb	103.451		0.76	31625.467	767911.250	0.412
102	102	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00343_CV0109_105	COV00343_CV0109	Analyte		dd	129.941		0.76	45178.699	877650.438	0.515
103	103	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00344_CV0115_106	COV00344_CV0115	Analyte		bb	209.112		0.76	56427.531	686120.250	0.822
104	104	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_107	PLASMA LTR	Analyte		bb	146.890		0.75	42450.746	731113.000	0.581

Compound 7:  nicotinic acid

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
1	1	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_4	Cal 8	Standard	2.3	db	0.409	0.400	0.78	2682.110	64413.992	0.416
2	2	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_5	Cal 7	Standard	-3.7	MM	0.771	0.800	0.79	3324.983	62612.039	0.531
3	3	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_6	Cal 6	Standard	6.7	MM	1.708	1.600	0.78	5036.277	60795.180	0.828
4	4	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_7	Cal 5	Standard	4.9	db	4.195	4.000	0.79	8539.694	52789.715	1.618
5	5	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_8	Cal 4	Standard	-3.3	dd	5.802	6.000	0.79	13516.970	63530.891	2.128
6	6	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_9	Cal 3	Standard	12.2	dd	11.220	10.000	0.78	24215.270	62952.848	3.847
7	7	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_10	Cal 2	Standard	5.0	db	20.995	20.000	0.79	43067.414	61984.141	6.948
8	8	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_11	Cal 1	Standard	4.0	dd	41.610	40.000	0.79	90851.336	67349.883	13.489
107	107	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_110	Cal 8	Standard	-1.0	MM	0.396	0.400	0.79	2981.417	72328.531	0.412
108	108	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_111	Cal 7	Standard	1.0	MM	0.808	0.800	0.78	3943.459	72646.492	0.543
109	109	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_112	Cal 6	Standard	-4.5	MM	1.528	1.600	0.79	5493.522	71231.656	0.771
110	110	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_113	Cal 5	Standard	-7.7	MM	3.693	4.000	0.79	9861.240	67615.211	1.458
111	111	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_114	Cal 4	Standard	-4.8	MM	5.713	6.000	0.79	14482.006	68991.227	2.099
112	112	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_115	Cal 3	Standard	-6.4	db	9.363	10.000	0.78	24425.811	74983.273	3.258
113	113	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_116	Cal 2	Standard	-9.5	MM	18.103	20.000	0.79	46349.980	76856.398	6.031
114	114	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_117	Cal 1	Standard	4.6	dd	41.846	40.000	0.79	106074.539	78201.508	13.564
32	32	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 5_35	QC 5	QC	-9.7	MM	1.446	1.600	0.79	4813.536	64596.078	0.745
44	44	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 2_47	QC 2	QC	0.6	db	32.204	32.000	0.78	75457.625	71831.305	10.505
56	56	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 6_59	QC 6	QC	-1.4	db	0.788	0.800	0.79	3486.314	64960.750	0.537
68	68	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 4_71	QC 4	QC	1.5	dd	4.059	4.000	0.79	9789.046	62175.578	1.574
80	80	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 1_83	QC 1	QC	4064.0	dd	1665.590	40.000	0.79	73341.367	1386.984	528.783
92	92	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 3_95	QC 3	QC	9.4	MM	17.505	16.000	0.79	31639.072	54167.801	5.841
9	9	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_12	Double Blank	Blank		bb	444.590		0.79	68.784	4.866	141.356
21	21	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_24	Double Blank	Blank		dd	141.212		0.78	45.797	10.156	45.094
33	33	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_36	Double Blank	Blank		db	106.167		0.75	47.468	13.972	33.974
45	45	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_48	Double Blank	Blank		bb	211.856		0.72	225.824	33.451	67.509
57	57	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_60	Double Blank	Blank		bd	1606.459		0.77	98.332	1.928	510.021
69	69	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_72	Double Blank	Blank		dd	106.736		0.78	65.074	19.053	34.154
81	81	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_84	Double Blank	Blank		bd	166.051		0.78	136.903	25.843	52.975
93	93	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_96	Double Blank	Blank		dd	102.990		0.78	135.541	41.116	32.966
105	105	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_108	Double Blank	Blank							89.067	
106	106	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_109	Double Blank	Blank		db	251.241		0.74	338.921	42.362	80.006
10	10	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00251_CV0013_13	COV00251_CV0013	Analyte		dbI			0.77	714.708	50378.566	0.142
11	11	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00252_CV0024_14	COV00252_CV0024	Analyte		dbI			0.76	305.669	44185.027	0.069
12	12	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00253_CV0026_15	COV00253_CV0026	Analyte		db	0.420		0.76	1511.766	36016.973	0.420
13	13	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00254_CV0001_16	COV00254_CV0001	Analyte		db	0.181		0.77	1446.211	42052.242	0.344
14	14	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00255_CV0023_17	COV00255_CV0023	Analyte		ddI			0.76	1262.435	48974.043	0.258
15	15	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00256_CV0025_18	COV00256_CV0025	Analyte		db	2.315		0.76	3897.465	38173.512	1.021
16	16	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00257_CV0010_19	COV00257_CV0010	Analyte		MMI			0.76	89.597	41330.875	0.022
17	17	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00258_CV0034_20	COV00258_CV0034	Analyte		db	0.179		0.76	1400.875	40796.477	0.343
18	18	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00259_CV0038_21	COV00259_CV0038	Analyte		MM	0.323		0.79	1828.101	46996.770	0.389
19	19	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00260_CV0040_22	COV00260_CV0040	Analyte		db	0.159		0.78	1322.762	39258.605	0.337
20	20	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_23	PLASMA LTR	Analyte		MMI			0.79	993.102	44074.164	0.225
22	22	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00263_CV0045_25	COV00263_CV0045	Analyte		MMI			0.78	439.563	39913.063	0.110
23	23	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00264_CV0003_26	COV00264_CV0003	Analyte		MM	2.693		0.78	3644.142	31942.156	1.141
24	24	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00265_CV0037_27	COV00265_CV0037	Analyte		MM	1.361		0.76	3450.180	48018.988	0.719
25	25	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00266_CV0039_28	COV00266_CV0039	Analyte		db	1.711		0.75	3500.261	42202.844	0.829
26	26	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00267_CV0044_29	COV00267_CV0044	Analyte		dbI			0.78	712.063	36469.938	0.195
27	27	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00268_CV0047_30	COV00268_CV0047	Analyte		db	4.071		0.75	6636.122	42050.137	1.578
28	28	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00269_CV0048_31	COV00269_CV0048	Analyte		MM	0.072		0.77	1208.713	39078.969	0.309
29	29	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00270_CV0006_32	COV00270_CV0006	Analyte		db	1.053		0.75	2691.055	43371.082	0.620
30	30	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00271_CV0011_33	COV00271_CV0011	Analyte		db	2.283		0.76	4627.317	45779.102	1.011
31	31	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00272_CV0046_34	COV00272_CV0046	Analyte		ddI			0.78	653.892	50630.434	0.129
34	34	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00275_CV0036_37	COV00275_CV0036	Analyte		db	2.560		0.75	4295.941	39094.703	1.099
35	35	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00276_CV0050_38	COV00276_CV0050	Analyte		MMI			0.76	405.141	50347.887	0.080
36	36	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00277_CV0001_39	COV00277_CV0001	Analyte		db	1.216		0.76	3345.165	49752.117	0.672
37	37	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00278_CV0056_40	COV00278_CV0056	Analyte		db	164.100		0.76	181186.188	34606.730	52.356
38	38	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00279_CV0058_41	COV00279_CV0058	Analyte		bbI			0.82	756.111	42446.855	0.178
39	39	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00280_CV0059_42	COV00280_CV0059	Analyte		dbI			0.79	700.064	46171.152	0.152
40	40	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00281_CV0074_43	COV00281_CV0074	Analyte		bbI			0.79	109.934	44407.309	0.025
41	41	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00282_CV0051_44	COV00282_CV0051	Analyte		MMI			0.78	687.981	34511.719	0.199
42	42	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00283_CV0060_45	COV00283_CV0060	Analyte		MM	0.050		0.77	1355.055	44829.059	0.302
43	43	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00284_CV0049_46	COV00284_CV0049	Analyte		MMI			0.79	285.271	49705.113	0.057
46	46	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00287_CV0073_49	COV00287_CV0073	Analyte		dbI			0.79	445.991	46324.406	0.096
47	47	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00288_CV0064_50	COV00288_CV0064	Analyte		db	1.428		0.75	3431.047	46394.898	0.740
48	48	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00289_CV0069_51	COV00289_CV0069	Analyte		dd	0.079		0.77	1371.668	44029.051	0.312
49	49	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00290_CV0071_52	COV00290_CV0071	Analyte		db	0.420		0.76	1809.777	43113.887	0.420
50	50	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00291_CV0072_53	COV00291_CV0072	Analyte		MM	0.101		0.78	1485.125	46643.434	0.318
51	51	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00292_CV0076_54	COV00292_CV0076	Analyte		MMI			0.79	894.480	49128.531	0.182
52	52	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00293_CV0078_55	COV00293_CV0078	Analyte		MMI			0.78	592.531	41024.074	0.144
53	53	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00294_CV0082_56	COV00294_CV0082	Analyte		dbI			0.78	1088.580	47056.715	0.231
54	54	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00295_CV0084_57	COV00295_CV0084	Analyte		bbI			0.82	276.667	38322.098	0.072
55	55	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00296_CV0086_58	COV00296_CV0086	Analyte		db	4.451		0.77	8230.779	48446.449	1.699
58	58	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00299_CV0085_61	COV00299_CV0085	Analyte		db	4.380		0.75	8097.298	48307.156	1.676
59	59	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00300_CV0015_62	COV00300_CV0015	Analyte		db	15.601		0.75	18163.383	34683.754	5.237
60	60	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00301_CV0027_63	COV00301_CV0027	Analyte		ddI			0.77	646.012	45516.223	0.142
61	61	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00302_CV0032_64	COV00302_CV0032	Analyte		db	1.302		0.77	3354.749	47940.309	0.700
62	62	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00303_CV0047_65	COV00303_CV0047	Analyte		db	2.980		0.76	4763.581	38662.609	1.232
63	63	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00304_CV0052_66	COV00304_CV0052	Analyte		MM	3.895		0.76	6493.807	42653.789	1.522
64	64	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00305_CV0057_67	COV00305_CV0057	Analyte		db	25.393		0.76	38239.449	45830.281	8.344
65	65	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00306_CV0065_68	COV00306_CV0065	Analyte		MMI			0.77	537.603	52705.691	0.102
66	66	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00307_CV0077_69	COV00307_CV0077	Analyte		dbI			0.79	630.898	50581.691	0.125
67	67	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00308_CV0080_70	COV00308_CV0080	Analyte		db	0.291		0.78	1908.878	50381.332	0.379
70	70	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00311_CV0089_73	COV00311_CV0089	Analyte		ddI			0.78	846.676	53509.422	0.158
71	71	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00312_CV0093_74	COV00312_CV0093	Analyte		MMI			0.78	454.174	49013.027	0.093
72	72	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00313_CV0094_75	COV00313_CV0094	Analyte		db	24.915		0.76	32884.723	40141.613	8.192
73	73	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00314_CV0033_76	COV00314_CV0033	Analyte		MM	0.127		0.77	1579.562	48312.176	0.327
74	74	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00315_CV0092_77	COV00315_CV0092	Analyte		MMI			0.76	1141.846	41249.160	0.277
75	75	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00316_CV0102_78	COV00316_CV0102	Analyte		MMI			0.78	528.818	47403.078	0.112
76	76	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00317_CV0105_79	COV00317_CV0105	Analyte		MMI			0.77	454.054	53633.492	0.085
77	77	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00318_CV0095_80	COV00318_CV0095	Analyte		MMI			0.77	429.434	48733.289	0.088
78	78	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00319_CV0003_81	COV00319_CV0003	Analyte		MM	6.903		0.77	9805.770	39589.957	2.477
79	79	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00320_CV0034_82	COV00320_CV0034	Analyte		db	0.548		0.76	2442.837	53045.543	0.461
82	82	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00323_CV0099_85	COV00323_CV0099	Analyte		db	2.377		0.76	4842.951	46538.328	1.041
83	83	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00324_CV0039_86	COV00324_CV0039	Analyte		db	1.209		0.76	3494.385	52152.113	0.670
84	84	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00325_CV0097_87	COV00325_CV0097	Analyte		db	0.180		0.76	1820.870	52976.027	0.344
85	85	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00326_CV0098_88	COV00326_CV0098	Analyte		dd	0.127		0.78	1820.238	55718.797	0.327
86	86	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00327_CV0050_89	COV00327_CV0050	Analyte		db	1.065		0.74	2893.449	46327.656	0.625
87	87	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00328_CV0075_90	COV00328_CV0075	Analyte		MM	0.113		0.77	1635.635	50749.680	0.322
88	88	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00329_CV0079_91	COV00329_CV0079	Analyte		dd	1.807		0.75	4251.210	49431.160	0.860
89	89	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00330_CV0103_92	COV00330_CV0103	Analyte		MMI			0.80	930.953	52577.957	0.177
90	90	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00331_CV0104_93	COV00331_CV0104	Analyte		MM	0.556		0.77	1803.229	38955.570	0.463
91	91	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00332_CV0059_94	COV00332_CV0059	Analyte		MMI			0.78	1226.533	51708.410	0.237
94	94	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00335_CV0101_97	COV00335_CV0101	Analyte		MMI			0.77	774.435	51661.262	0.150
95	95	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00336_CV0056_98	COV00336_CV0056	Analyte		db	265.471		0.75	236050.609	27927.996	84.521
96	96	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00337_CV0068_99	COV00337_CV0068	Analyte		MMI			0.77	567.192	54665.359	0.104
97	97	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00338_CV0071_100	COV00338_CV0071	Analyte		bbI			0.76	912.903	52438.137	0.174
98	98	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00339_CV0088_101	COV00339_CV0088	Analyte		MMI			0.78	558.005	51343.039	0.109
99	99	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00340_CV0106_102	COV00340_CV0106	Analyte		dbI			0.76	334.837	54978.527	0.061
100	100	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00341_CV0107_103	COV00341_CV0107	Analyte		dbI			0.77	617.650	58120.727	0.106
101	101	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00342_CV0108_104	COV00342_CV0108	Analyte		db	17.376		0.79	32452.545	55954.152	5.800
102	102	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00343_CV0109_105	COV00343_CV0109	Analyte		dbI			0.76	655.040	58638.320	0.112
103	103	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00344_CV0115_106	COV00344_CV0115	Analyte		MM	0.607		0.77	1881.089	39255.996	0.479
104	104	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_107	PLASMA LTR	Analyte		MMI			0.78	1074.472	54265.121	0.198

Compound 8:  picolinic acid

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
1	1	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_4	Cal 8	Standard	4.7	bd	0.419	0.400	0.73	8474.519	1611462.250	0.053
2	2	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_5	Cal 7	Standard	-13.8	MM	0.689	0.800	0.73	11512.913	1747189.625	0.066
3	3	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_6	Cal 6	Standard	-11.0	bd	1.424	1.600	0.73	15094.334	1478767.375	0.102
4	4	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_7	Cal 5	Standard	3.5	bd	4.141	4.000	0.73	34843.828	1477784.125	0.236
5	5	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_8	Cal 4	Standard	-1.4	bd	5.915	6.000	0.73	48965.047	1515561.000	0.323
6	6	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_9	Cal 3	Standard	1.0	bd	10.097	10.000	0.73	80048.000	1513494.625	0.529
7	7	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_10	Cal 2	Standard	-3.9	bd	19.225	20.000	0.73	125812.508	1286166.625	0.978
8	8	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_11	Cal 1	Standard	3.1	bd	41.221	40.000	0.73	298125.000	1446671.625	2.061
